R_fighter,B_fighter,date,location,country,Winner,title_bout,weight_class,gender,no_of_rounds,B_draw,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_landed,B_avg_TD_pct,B_losses,B_total_rounds_fought,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_draw,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_landed,R_avg_TD_pct,R_losses,R_total_rounds_fought,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,R_age,B_age,lose_streak_dif,win_streak_dif,longest_win_streak_dif,win_dif,loss_dif,total_round_dif,total_title_bout_dif,ko_dif,sub_dif,height_dif,reach_dif,age_dif,sig_str_dif,avg_sub_att_dif,avg_td_dif,better_rank,finish,finish_details,finish_round,finish_round_time,total_fight_time_secs
Mauricio Rua,Anthony Smith,7/22/2018,"Hamburg, Hamburg, Germany", Germany,Blue,False,Light Heavyweight,MALE,5,0,30.375,0.47125,0.25,0.375,0.09125,3,18,0,0,0,1,4,0,0,5,Orthodox,193.04,193.04,205,0,40.82352941,0.509411765,0.235294118,1.235294118,0.227647059,8,44,3,0,1,1,7,0,0,9,Orthodox,185.42,193.04,205,36,29,0,-2,0,-4,5,-26,-3,-3,0,7.62,0.0,7,-10.44852941,0.014705882,-0.860294118,Red,KO/TKO,Punches,1.0,1:29,89.0
Glover Teixeira,Corey Anderson,7/22/2018,"Hamburg, Hamburg, Germany", Germany,Blue,False,Light Heavyweight,MALE,3,0,54.54545455,0.483636364,0.0,4.090909091,0.545454545,4,28,1,0,0,5,2,0,0,7,Orthodox,190.5,200.66,205,0,32.92857143,0.452857143,0.428571429,1.428571429,0.392857143,4,32,1,0,0,2,4,3,1,10,Orthodox,187.96,193.04,205,38,28,0,0,-2,-3,0,-4,0,-3,-3,2.54,7.62,10,21.61688312,-0.428571429,2.662337662,Red,U-DEC,blank,3.0,5:00,900.0
Vitor Miranda,Abu Azaitar,7/22/2018,"Hamburg, Hamburg, Germany", Germany,Blue,False,Middleweight,MALE,3,0,26.308553058225918,0.4447405452144759,0.5046142031257382,1.2511726824001967,0.3125063456674889,0,0,0,0,0,0,0,0,0,0,Orthodox,175.26,193.04,185,0,36.0,0.516666667,0.0,0.333333333,0.25,3,14,1,0,0,0,3,0,0,3,Orthodox,185.42,195.58,185,39,32,2,0,-3,-3,3,-14,-1,-3,0,-10.16,-2.54,7,-36.0,0.0,-0.333333333,neither,U-DEC,blank,3.0,5:00,900.0
Marcin Tybura,Stefan Struve,7/22/2018,"Hamburg, Hamburg, Germany", Germany,Red,False,Heavyweight,MALE,3,0,24.4,0.4515,1.0,0.3,0.225,8,38,0,1,0,1,5,5,0,12,Orthodox,210.82,213.36,265,0,54.66666667,0.526666667,0.166666667,1.0,0.498333333,3,19,0,0,0,1,2,0,0,3,Orthodox,190.5,198.12,249,32,30,0,0,1,9,-5,19,0,3,5,20.32,15.24,2,-30.26666667,0.833333333,-0.7,Red,U-DEC,blank,3.0,5:00,900.0
Danny Roberts,David Zawada,7/22/2018,"Hamburg, Hamburg, Germany", Germany,Red,False,Welterweight,MALE,3,0,26.308553058225918,0.4447405452144759,0.5046142031257382,1.2511726824001967,0.3125063456674889,0,0,0,0,0,0,0,0,0,0,Orthodox,182.88,190.5,170,0,29.33333333,0.363333333,0.166666667,0.0,0.0,2,11,0,0,0,1,2,1,0,4,Southpaw,185.42,187.96,170,31,27,0,-1,-2,-4,2,-11,0,-2,-1,-2.54,2.54,4,-29.33333333,-0.166666667,0.0,neither,S-DEC,blank,3.0,5:00,900.0
Nasrat Haqparast,Marc Diakiese,7/22/2018,"Hamburg, Hamburg, Germany", Germany,Red,False,Lightweight,MALE,3,0,21.75,0.465,0.0,1.75,0.365,1,9,0,0,0,1,2,0,0,3,Orthodox,177.8,185.42,155,0,27.0,0.36,0.0,1.0,1.0,1,3,0,0,0,0,0,0,0,0,Southpaw,177.8,182.88,155,22,25,0,0,3,3,0,6,0,2,0,0.0,2.54,-3,-5.25,0.0,0.75,neither,U-DEC,blank,3.0,5:00,900.0
Nick Hein,Damir Hadzovic,7/22/2018,"Hamburg, Hamburg, Germany", Germany,Blue,False,Lightweight,MALE,3,0,15.0,0.503333333,0.333333333,0.0,0.0,2,7,0,0,0,0,1,0,0,1,Orthodox,175.26,177.8,155,0,32.66666667,0.335,0.0,0.833333333,0.176666667,2,16,0,0,0,4,0,0,0,4,Southpaw,167.64,167.64,155,34,31,0,0,-2,-3,0,-9,0,1,0,7.62,10.16,3,-17.66666667,0.333333333,-0.833333333,neither,S-DEC,blank,3.0,5:00,900.0
Emil Meek,Bartosz Fabinski,7/22/2018,"Hamburg, Hamburg, Germany", Germany,Blue,False,Welterweight,MALE,3,0,33.0,0.705,0.0,8.0,0.72,0,6,0,0,0,2,0,0,0,2,Orthodox,182.88,190.5,170,0,40.0,0.405,1.5,0.5,0.25,1,6,0,0,0,1,0,0,0,1,Switch,180.34,187.96,170,29,32,1,2,1,1,1,0,0,0,0,2.54,2.54,-3,-7.0,-1.5,7.5,neither,U-DEC,blank,3.0,5:00,900.0
Khalid Taha,Nad Narimani,7/22/2018,"Hamburg, Hamburg, Germany", Germany,Blue,False,Featherweight,MALE,3,0,26.308553058225918,0.4447405452144759,0.5046142031257382,1.2511726824001967,0.3125063456674889,0,0,0,0,0,0,0,0,0,0,Orthodox,172.72,177.8,145,0,27.396407786144113,0.45470916484908575,0.5176586652361754,1.3373876663126238,0.32941097880370945,0,0,0,0,0,0,0,0,0,0,Orthodox,165.1,175.26,135,26,31,0,0,0,0,0,0,0,0,0,7.62,2.54,-5,0.0,0.0,0.0,neither,U-DEC,blank,3.0,5:00,900.0
Justin Ledet,Aleksandar Rakic,7/22/2018,"Hamburg, Hamburg, Germany", Germany,Blue,False,Light Heavyweight,MALE,3,0,46.0,0.3,0.0,0.0,0.0,0,3,0,0,0,1,0,0,0,1,Orthodox,193.04,198.12,205,0,50.66666667,0.346666667,0.333333333,0.333333333,0.333333333,0,7,0,0,1,1,0,1,0,3,Orthodox,193.04,203.2,205,29,26,0,-2,-2,-2,0,-4,0,0,-1,0.0,-5.08,3,-4.66666667,-0.333333333,-0.333333333,neither,U-DEC,blank,3.0,5:00,900.0
Davey Grant,Manny Bermudez,7/22/2018,"Hamburg, Hamburg, Germany", Germany,Blue,False,Bantamweight,MALE,3,0,12.0,0.42,3.0,1.0,0.2,0,2,0,0,0,0,0,1,0,1,Orthodox,177.8,180.34,135,0,42.0,0.493333333,0.0,1.0,0.4,2,8,1,0,0,1,0,0,0,1,Orthodox,172.72,175.26,135,32,24,1,1,0,0,2,-6,-1,0,1,5.08,5.08,8,-30.0,3.0,0.0,neither,SUB,Triangle Choke,1.0,0:59,59.0
Jeremy Kimball,Darko Stosic,7/22/2018,"Hamburg, Hamburg, Germany", Germany,Blue,False,Light Heavyweight,MALE,3,0,26.308553058225918,0.4447405452144759,0.5046142031257382,1.2511726824001967,0.3125063456674889,0,0,0,0,0,0,0,0,0,0,Orthodox,182.88,193.04,205,0,8.666666667,0.543333333,0.0,0.333333333,0.083333333,2,3,0,0,0,0,1,0,0,1,Switch,182.88,182.88,205,27,26,1,0,-1,-1,2,-3,0,-1,0,0.0,10.16,1,-8.666666667,0.0,-0.333333333,neither,KO/TKO,Elbows,1.0,3:13,193.0
Damian Stasiak,Liu Pingyuan,7/22/2018,"Hamburg, Hamburg, Germany", Germany,Blue,False,Bantamweight,MALE,3,0,26.308553058225918,0.4447405452144759,0.5046142031257382,1.2511726824001967,0.3125063456674889,0,0,0,0,0,0,0,0,0,0,Orthodox,167.64,182.88,135,0,22.6,0.436,0.6,2.0,0.474,3,13,0,0,0,0,0,2,0,2,Orthodox,165.1,177.8,135,28,25,2,0,-2,-2,3,-13,0,0,-2,2.54,5.08,3,-22.6,-0.6,-2.0,neither,U-DEC,blank,3.0,5:00,900.0
Junior Dos Santos,Blagoy Ivanov,7/14/2018,"Boise, Idaho, USA", USA,Red,False,Heavyweight,MALE,5,0,26.308553058225918,0.4447405452144759,0.5046142031257382,1.2511726824001967,0.3125063456674889,0,0,0,0,0,0,0,0,0,0,Southpaw,180.34,185.42,250,0,56.1875,0.525625,0.0625,0.3125,0.21875,4,42,5,0,0,4,8,0,0,12,Orthodox,193.04,195.58,238,34,31,1,0,-9,-12,4,-42,-5,-8,0,-12.7,-10.16,3,-56.1875,-0.0625,-0.3125,Red,U-DEC,blank,5.0,5:00,1500.0
Sage Northcutt,Zak Ottow,7/14/2018,"Boise, Idaho, USA", USA,Red,False,Welterweight,MALE,3,0,34.6,0.39,0.2,0.4,0.132,2,11,0,0,2,0,1,0,0,3,Orthodox,180.34,182.88,170,0,34.71428571,0.581428571,0.285714286,1.142857143,0.415714286,2,16,0,0,0,3,1,1,0,5,Orthodox,182.88,180.34,170,22,31,0,-1,-1,-2,0,-5,0,0,-1,-2.54,2.54,-9,-0.11428571,-0.085714286,-0.742857143,neither,KO/TKO,Punch,2.0,3:13,493.0
Dennis Bermudez,Rick Glenn,7/14/2018,"Boise, Idaho, USA", USA,Blue,False,Featherweight,MALE,3,0,66.5,0.3925,0.25,1.0,0.1425,2,12,0,0,1,1,0,0,0,2,Southpaw,182.88,177.8,145,0,51.0,0.46,0.8,2.666666667,0.387333333,6,36,1,0,2,4,1,2,0,9,Orthodox,167.64,167.64,155,31,29,2,0,-5,-7,4,-24,-1,-1,-2,15.24,10.16,2,15.5,-0.55,-1.666666667,neither,S-DEC,blank,3.0,5:00,900.0
Randy Brown,Niko Price,7/14/2018,"Boise, Idaho, USA", USA,Blue,False,Welterweight,MALE,3,0,17.6,0.368,1.0,0.6,0.13,2,8,0,0,0,0,1,2,0,3,Orthodox,182.88,193.04,170,0,34.16666667,0.466666667,0.5,0.666666667,0.43,2,16,0,0,0,2,1,1,0,4,Orthodox,190.5,198.12,170,28,28,0,0,-1,-1,0,-8,0,0,1,-7.62,-5.08,0,-16.56666667,0.5,-0.066666667,neither,KO/TKO,Punch,2.0,1:09,369.0
Myles Jury,Chad Mendes,7/14/2018,"Boise, Idaho, USA", USA,Blue,False,Featherweight,MALE,3,0,28.0,0.574166667,0.166666667,2.0,0.2825,4,25,3,0,0,3,5,0,0,8,Orthodox,167.64,167.64,145,0,24.8,0.378,0.2,1.6,0.496,2,21,0,0,1,3,3,1,0,8,Orthodox,177.8,185.42,145,29,33,-2,-2,-1,0,-2,4,3,2,-1,-10.16,-17.78,-4,3.2,-0.033333333,0.4,Red,KO/TKO,Punch,1.0,2:52,172.0
Cat Zingano,Marion Reneau,7/14/2018,"Boise, Idaho, USA", USA,Red,False,Women's Bantamweight,FEMALE,3,0,46.625,0.42375,1.125,0.25,0.25,3,21,0,0,0,1,2,2,0,5,Orthodox,167.64,172.72,135,0,29.0,0.502,0.8,1.4,0.55,3,13,1,0,0,0,2,0,0,2,Southpaw,167.64,172.72,145,36,41,3,2,0,3,0,8,-1,0,2,0.0,0.0,-5,17.625,0.325,-1.15,Red,U-DEC,blank,3.0,5:00,900.0
Eddie Wineland,Alejandro Perez,7/14/2018,"Boise, Idaho, USA", USA,Blue,False,Bantamweight,MALE,3,0,38.625,0.36125,0.125,0.375,0.12375,2,18,1,0,1,2,3,0,0,6,Orthodox,167.64,170.18,135,0,34.63636364,0.256363636,0.0,0.181818182,0.120909091,6,26,1,0,1,0,4,0,0,5,Orthodox,170.18,175.26,135,34,28,1,3,1,1,4,-8,0,-1,0,-2.54,-5.08,6,3.98863636,0.125,0.193181818,Blue,U-DEC,blank,3.0,5:00,900.0
Darren Elkins,Alexander Volkanovski,7/14/2018,"Boise, Idaho, USA", USA,Blue,False,Featherweight,MALE,3,0,69.5,0.615,0.0,3.5,0.645,0,10,0,0,0,2,2,0,0,4,Orthodox,167.64,180.34,145,0,35.94444444,0.328333333,1.166666667,2.111111111,0.343888889,4,45,0,0,2,8,3,1,0,14,Orthodox,177.8,180.34,145,34,29,0,-2,-2,-10,4,-35,0,-1,-1,-10.16,0.0,5,33.55555556,-1.166666667,1.388888889,Red,U-DEC,blank,3.0,5:00,900.0
Justin Scoggins,Said Nurmagomedov,7/14/2018,"Boise, Idaho, USA", USA,Blue,False,Flyweight,MALE,3,0,26.308553058225918,0.4447405452144759,0.5046142031257382,1.2511726824001967,0.3125063456674889,0,0,0,0,0,0,0,0,0,0,Orthodox,172.72,177.8,135,0,40.875,0.5825,0.375,2.875,0.6925,4,19,0,0,0,3,1,0,0,4,Southpaw,170.18,167.64,125,26,26,2,0,-2,-4,4,-19,0,-1,0,2.54,10.16,0,-40.875,-0.375,-2.875,neither,S-DEC,blank,3.0,5:00,900.0
Kurt Holobaugh,Raoni Barcelos,7/14/2018,"Boise, Idaho, USA", USA,Blue,False,Featherweight,MALE,3,0,26.308553058225918,0.4447405452144759,0.5046142031257382,1.2511726824001967,0.3125063456674889,0,0,0,0,0,0,0,0,0,0,Orthodox,170.18,170.18,135,0,41.0,0.44,2.0,1.0,0.5,1,3,0,0,0,0,0,0,0,0,Orthodox,180.34,177.8,155,31,31,1,0,0,0,1,-3,0,0,0,-10.16,-7.62,0,-41.0,-2.0,-1.0,neither,KO/TKO,Punch,3.0,1:29,689.0
Liz Carmouche,Jennifer Maia,7/14/2018,"Boise, Idaho, USA", USA,Red,False,Women's Flyweight,FEMALE,3,0,26.308553058225918,0.4447405452144759,0.5046142031257382,1.2511726824001967,0.3125063456674889,0,0,0,0,0,0,0,0,0,0,Orthodox,162.56,162.56,125,0,32.71428571,0.565714286,0.285714286,2.714285714,0.647142857,4,18,1,0,1,1,1,0,0,3,Orthodox,167.64,167.64,125,34,29,1,0,-2,-3,4,-18,-1,-1,0,-5.08,-5.08,5,-32.71428571,-0.285714286,-2.714285714,Red,U-DEC,blank,3.0,5:00,900.0
Mark De La Rosa,Elias Garcia,7/14/2018,"Boise, Idaho, USA", USA,Red,False,Flyweight,MALE,3,0,26.308553058225918,0.4447405452144759,0.5046142031257382,1.2511726824001967,0.3125063456674889,0,0,0,0,0,0,0,0,0,0,Southpaw,165.1,170.18,125,0,2.0,0.5,0.0,0.0,0.0,1,2,0,0,0,0,0,0,0,0,Orthodox,167.64,165.1,135,23,25,1,0,0,0,1,-2,0,0,0,-2.54,5.08,-2,-2.0,0.0,0.0,neither,SUB,Rear Naked Choke,2.0,2:00,420.0
Jessica Aguilar,Jodie Esquibel,7/14/2018,"Boise, Idaho, USA", USA,Red,False,Women's Strawweight,FEMALE,3,0,65.0,0.37,0.0,0.0,0.0,1,3,0,0,0,0,0,0,0,0,Orthodox,154.94,162.56,115,0,63.5,0.45,0.0,2.0,0.4,2,6,0,0,0,0,0,0,0,0,Orthodox,160.02,160.02,115,36,32,1,0,0,0,1,-3,0,0,0,-5.08,2.54,4,1.5,0.0,-2.0,neither,U-DEC,blank,3.0,5:00,900.0
Stipe Miocic,Daniel Cormier,7/7/2018,"Las Vegas, Nevada, USA", USA,Blue,True,Heavyweight,MALE,5,0,52.81818182,0.538181818,0.636363636,1.545454545,0.404545455,2,33,6,0,1,3,2,3,0,9,Orthodox,180.34,182.88,235,0,49.71428571,0.537857143,0.0,1.642857143,0.374285714,2,34,4,0,0,4,8,0,0,12,Orthodox,193.04,203.2,240,35,39,0,-5,-2,-3,0,-1,2,-6,3,-12.7,-20.32,-4,3.10389611,0.636363636,-0.097402598,Red,KO/TKO,Punches,1.0,4:33,273.0
Francis Ngannou,Derrick Lewis,7/7/2018,"Las Vegas, Nevada, USA", USA,Blue,False,Heavyweight,MALE,3,0,27.38461538,0.566153846,0.0,0.384615385,0.256153846,3,28,0,0,1,0,9,0,0,10,Orthodox,190.5,200.66,260,0,15.0,0.511428571,0.285714286,0.0,0.0,1,13,1,0,0,0,4,1,1,6,Orthodox,193.04,210.82,250,31,33,1,1,0,4,-2,15,-1,4,-1,-2.54,-10.16,-2,12.38461538,-0.285714286,0.384615385,Red,U-DEC,blank,3.0,5:00,900.0
Paul Felder,Mike Perry,7/7/2018,"Las Vegas, Nevada, USA", USA,Blue,False,Welterweight,MALE,3,0,41.57142857,0.471428571,0.0,0.285714286,0.178571429,3,16,0,0,0,0,4,0,0,4,Orthodox,177.8,180.34,170,0,38.8,0.463,0.3,0.3,0.15,3,24,0,0,1,1,4,1,0,7,Orthodox,180.34,177.8,155,34,26,-2,-3,-1,-3,0,-8,0,0,-1,-2.54,2.54,8,2.77142857,-0.3,-0.014285714,neither,S-DEC,blank,3.0,5:00,900.0
Michael Chiesa,Anthony Pettis,7/7/2018,"Las Vegas, Nevada, USA", USA,Blue,False,Lightweight,MALE,3,0,36.84615385,0.483076923,0.615384615,0.615384615,0.166153846,6,34,4,0,1,1,2,3,0,7,Orthodox,177.8,182.88,170,0,18.1,0.384,0.8,1.5,0.403,3,20,1,0,0,2,0,5,0,7,Southpaw,185.42,190.5,170,30,31,0,0,2,0,-3,14,3,2,-2,-7.62,-7.62,-1,18.74615385,-0.184615385,-0.884615385,Red,SUB,Triangle Choke,2.0,0:52,352.0
Gokhan Saki,Khalil Rountree Jr.,7/7/2018,"Las Vegas, Nevada, USA", USA,Blue,False,Light Heavyweight,MALE,3,0,17.4,0.504,0.2,0.0,0.0,3,9,1,0,0,0,2,0,0,2,Southpaw,185.42,193.04,205,0,40.0,0.6,0.0,0.0,0.0,0,1,0,0,0,0,1,0,0,1,Orthodox,182.88,185.42,205,34,28,-1,-1,1,1,-3,8,1,1,0,2.54,7.62,6,-22.6,0.2,0.0,neither,KO/TKO,Punches,1.0,1:36,96.0
Uriah Hall,Paulo Costa,7/7/2018,"Las Vegas, Nevada, USA", USA,Blue,False,Middleweight,MALE,3,0,38.0,0.583333333,0.0,0.0,0.0,0,5,0,0,0,0,3,0,0,3,Orthodox,185.42,182.88,185,0,27.5,0.540833333,0.166666667,0.583333333,0.27,6,24,1,0,0,1,3,0,2,6,Orthodox,182.88,200.66,185,33,27,0,2,0,-3,6,-19,-1,-2,0,2.54,-17.78,6,10.5,-0.166666667,-0.583333333,Red,KO/TKO,Punches,2.0,2:38,458.0
Raphael Assuncao,Rob Font,7/7/2018,"Las Vegas, Nevada, USA", USA,Red,False,Bantamweight,MALE,3,0,38.71428571,0.478571429,0.571428571,0.714285714,0.29,2,12,0,0,0,0,4,1,0,5,Orthodox,172.72,180.34,135,0,46.58333333,0.415,0.166666667,0.916666667,0.191666667,2,32,0,0,3,4,2,1,0,10,Orthodox,165.1,167.64,135,35,31,0,-2,-5,-5,0,-20,0,2,0,7.62,12.7,4,-7.86904762,0.404761904,-0.202380953,Red,U-DEC,blank,3.0,5:00,900.0
Lando Vannata,Drakkar Klose,7/7/2018,"Las Vegas, Nevada, USA", USA,Blue,False,Lightweight,MALE,3,0,53.5,0.5,0.0,2.0,0.64,1,6,0,0,0,1,0,0,0,1,Orthodox,175.26,177.8,155,0,57.5,0.41,0.25,1.25,0.45,3,9,0,0,0,0,1,0,0,1,Orthodox,175.26,180.34,155,26,30,1,0,0,0,2,-3,0,-1,0,0.0,-2.54,-4,-4.0,-0.25,0.75,neither,U-DEC,blank,3.0,5:00,900.0
Curtis Millender,Max Griffin,7/7/2018,"Las Vegas, Nevada, USA", USA,Red,False,Welterweight,MALE,3,0,39.25,0.4275,0.25,0.0,0.0,2,10,0,0,0,1,1,0,0,2,Orthodox,180.34,193.04,170,0,47.0,0.44,0.0,0.0,0.0,0,2,0,0,0,0,1,0,0,1,Orthodox,187.96,193.04,170,30,32,0,0,0,1,-2,8,0,0,0,-7.62,0.0,-2,-7.75,0.25,0.0,neither,U-DEC,blank,3.0,5:00,900.0
Dan Hooker,Gilbert Burns,7/7/2018,"Las Vegas, Nevada, USA", USA,Red,False,Lightweight,MALE,3,0,28.5,0.41125,0.625,1.625,0.51375,2,18,0,0,0,1,2,3,0,6,Orthodox,177.8,180.34,155,0,34.77777778,0.456666667,0.222222222,0.333333333,0.11,3,19,0,0,0,0,4,2,0,6,Switch,182.88,190.5,155,28,31,0,-1,0,0,1,-1,0,-2,1,-5.08,-10.16,-3,-6.27777778,0.402777778,1.291666667,neither,KO/TKO,Punches,1.0,2:28,148.0
Jamie Moyle,Emily Whitmire,7/7/2018,"Las Vegas, Nevada, USA", USA,Blue,False,Women's Strawweight,FEMALE,3,0,9.0,0.6,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0,Orthodox,165.1,160.02,115,0,76.5,0.555,0.0,1.5,0.15,1,6,0,0,0,1,0,0,0,1,Orthodox,154.94,165.1,115,29,27,0,0,-1,-1,0,-5,0,0,0,10.16,-5.08,2,-67.5,0.0,-1.5,neither,U-DEC,blank,3.0,5:00,900.0
Brad Tavares,Israel Adesanya,7/6/2018,"Las Vegas, Nevada, USA", USA,Blue,False,Middleweight,MALE,5,0,54.5,0.575,0.0,0.0,0.0,0,5,0,0,1,0,1,0,0,2,Switch,193.04,203.2,185,0,41.0,0.426875,0.0,0.9375,0.210625,4,43,0,0,2,8,2,0,0,12,Orthodox,185.42,187.96,185,30,28,0,-2,-3,-10,4,-38,0,-1,0,7.62,15.24,2,13.5,0.0,-0.9375,Red,U-DEC,blank,5.0,5:00,1500.0
Michael Trizano,Joe Giannetti,7/6/2018,"Las Vegas, Nevada, USA", USA,Red,True,Lightweight,MALE,4,0,26.308553058225918,0.4447405452144759,0.5046142031257382,1.2511726824001967,0.3125063456674889,0,0,0,0,0,0,0,0,0,0,Southpaw,182.88,187.96,155,0,27.396407786144113,0.45470916484908575,0.5176586652361754,1.3373876663126238,0.32941097880370945,0,0,0,0,0,0,0,0,0,0,Orthodox,180.34,180.34,155,26,23,0,0,0,0,0,0,0,0,0,2.54,7.62,3,0.0,0.0,0.0,neither,S-DEC,blank,3.0,5:00,900.0
Jay Cucciniello,Brad Katona,7/6/2018,"Las Vegas, Nevada, USA", USA,Blue,True,Featherweight,MALE,4,0,26.308553058225918,0.4447405452144759,0.5046142031257382,1.2511726824001967,0.3125063456674889,0,0,0,0,0,0,0,0,0,0,Orthodox,167.64,162.56,135,0,27.396407786144113,0.45470916484908575,0.5176586652361754,1.3373876663126238,0.32941097880370945,0,0,0,0,0,0,0,0,0,0,Orthodox,170.18,173.0,155,31,26,0,0,0,0,0,0,0,0,0,-2.54,-10.44,5,0.0,0.0,0.0,neither,U-DEC,blank,3.0,5:00,900.0
Alex Caceres,Martin Bravo,7/6/2018,"Las Vegas, Nevada, USA", USA,Red,False,Featherweight,MALE,3,0,28.5,0.395,0.0,0.0,0.0,1,3,1,0,0,0,1,0,0,1,Southpaw,172.72,180.34,145,0,46.55555556,0.462222222,0.722222222,0.5,0.240555556,10,48,0,0,2,3,0,2,1,8,Southpaw,177.8,185.42,145,30,24,0,0,-1,-7,9,-45,1,0,-2,-5.08,-5.08,6,-18.05555556,-0.722222222,-0.5,neither,S-DEC,blank,3.0,5:00,900.0
Roxanne Modafferi,Barb Honchak,7/6/2018,"Las Vegas, Nevada, USA", USA,Red,False,Women's Flyweight,FEMALE,3,0,71.0,0.3,2.0,0.0,0.0,1,3,0,0,0,0,0,0,0,0,Orthodox,162.56,165.1,125,0,87.0,0.265,0.5,1.0,0.11,2,8,1,0,0,0,0,0,0,0,Orthodox,170.18,175.26,125,35,38,1,0,0,0,1,-5,-1,0,0,-7.62,-10.16,-3,-16.0,1.5,-1.0,Blue,KO/TKO,Elbows,2.0,3:32,512.0
Alessio Di Chirico,Julian Marquez,7/6/2018,"Las Vegas, Nevada, USA", USA,Red,False,Middleweight,MALE,3,0,32.0,0.5,3.0,0.0,0.0,0,2,0,0,0,0,0,1,0,1,Orthodox,187.96,190.5,185,0,33.25,0.3825,0.0,1.25,0.4975,2,9,0,0,1,0,1,0,0,2,Orthodox,182.88,187.96,185,28,28,0,0,0,-1,2,-7,0,-1,1,5.08,2.54,0,-1.25,3.0,-1.25,neither,S-DEC,blank,3.0,5:00,900.0
Montana De La Rosa,Rachael Ostovich,7/6/2018,"Las Vegas, Nevada, USA", USA,Red,False,Women's Flyweight,FEMALE,3,0,3.0,0.23,1.0,1.0,1.0,0,1,0,0,0,0,0,1,0,1,Orthodox,160.02,157.48,125,0,6.0,0.35,1.0,0.0,0.0,0,1,0,0,0,0,0,1,0,1,Orthodox,170.18,172.72,125,23,27,0,0,0,0,0,0,0,0,0,-10.16,-15.24,-4,-3.0,0.0,1.0,neither,SUB,Rear Naked Choke,3.0,4:21,861.0
Luis Pena,Richie Smullen,7/6/2018,"Las Vegas, Nevada, USA", USA,Red,False,Lightweight,MALE,3,0,26.308553058225918,0.4447405452144759,0.5046142031257382,1.2511726824001967,0.3125063456674889,0,0,0,0,0,0,0,0,0,0,Orthodox,175.26,172.72,155,0,27.396407786144113,0.45470916484908575,0.5176586652361754,1.3373876663126238,0.32941097880370945,0,0,0,0,0,0,0,0,0,0,Southpaw,190.5,190.5,155,25,26,0,0,0,0,0,0,0,0,0,-15.24,-17.78,-1,0.0,0.0,0.0,neither,SUB,Guillotine Choke,1.0,3:32,212.0
John Gunther,Allan Zuniga,7/6/2018,"Las Vegas, Nevada, USA", USA,Red,False,Lightweight,MALE,3,0,26.308553058225918,0.4447405452144759,0.5046142031257382,1.2511726824001967,0.3125063456674889,0,0,0,0,0,0,0,0,0,0,Orthodox,170.18,177.8,155,0,27.396407786144113,0.45470916484908575,0.5176586652361754,1.3373876663126238,0.32941097880370945,0,0,0,0,0,0,0,0,0,0,Orthodox,175.26,182.88,155,32,26,0,0,0,0,0,0,0,0,0,-5.08,-5.08,6,0.0,0.0,0.0,neither,M-DEC,blank,3.0,5:00,900.0
Tyler Diamond,Bryce Mitchell,7/6/2018,"Las Vegas, Nevada, USA", USA,Blue,False,Featherweight,MALE,3,0,26.308553058225918,0.4447405452144759,0.5046142031257382,1.2511726824001967,0.3125063456674889,0,0,0,0,0,0,0,0,0,0,Southpaw,177.8,178.0,145,0,27.396407786144113,0.45470916484908575,0.5176586652361754,1.3373876663126238,0.32941097880370945,0,0,0,0,0,0,0,0,0,0,Orthodox,170.18,175.26,145,27,23,0,0,0,0,0,0,0,0,0,7.62,2.74,4,0.0,0.0,0.0,neither,M-DEC,blank,3.0,5:00,900.0
Matt Bessette,Steven Peterson,7/6/2018,"Las Vegas, Nevada, USA", USA,Blue,False,Featherweight,MALE,3,0,73.0,0.25,0.0,1.0,0.1,1,3,0,0,0,0,0,0,0,0,Orthodox,177.8,177.8,145,0,43.0,0.29,0.0,0.0,0.0,1,3,0,0,0,0,0,0,0,0,Orthodox,177.8,177.8,145,33,28,0,0,0,0,0,0,0,0,0,0.0,0.0,5,30.0,0.0,1.0,neither,S-DEC,blank,3.0,5:00,900.0
Gerald Meerschaert,Oskar Piechota,7/6/2018,"Las Vegas, Nevada, USA", USA,Red,False,Middleweight,MALE,3,0,36.5,0.685,1.5,0.5,0.165,0,4,0,0,0,1,1,0,0,2,Southpaw,182.88,193.04,185,0,17.0,0.46,0.5,0.75,0.0925,1,6,0,0,0,0,1,2,0,3,Southpaw,185.42,195.58,185,30,28,0,1,0,-1,1,-2,0,0,-2,-2.54,-2.54,2,19.5,1.0,-0.25,neither,SUB,Rear Naked Choke,2.0,4:55,595.0
